"filename", "language", "Handlebars", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\main.hbs", "Handlebars", 18, 0, 0, 0, 0, 0, 0, 2, 3, 23
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\modalApproved.hbs", "Handlebars", 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\modalConfirm.hbs", "Handlebars", 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\modalMP.hbs", "Handlebars", 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\modalRemove.hbs", "Handlebars", 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\nosotros.hbs", "Handlebars", 285, 0, 0, 0, 0, 0, 0, 0, 4, 289
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\badges.hbs", "Handlebars", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\card.hbs", "Handlebars", 37, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\categoryBadge.hbs", "Handlebars", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\pagination.hbs", "Handlebars", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\productCart.hbs", "Handlebars", 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\components\tableThin.hbs", "Handlebars", 52, 0, 0, 0, 0, 0, 0, 0, 0, 52
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\layout\main-footer.hbs", "Handlebars", 239, 0, 0, 0, 0, 0, 0, 0, 0, 239
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\partials\layout\main-header.hbs", "Handlebars", 131, 0, 0, 0, 0, 0, 0, 0, 0, 131
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\product.hbs", "Handlebars", 77, 0, 0, 0, 0, 0, 0, 0, 1, 78
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\productsCart.hbs", "Handlebars", 7, 0, 0, 0, 0, 0, 0, 2, 0, 9
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\productsTable.hbs", "Handlebars", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\sale.hbs", "Handlebars", 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\rdces\OneDrive\Documentos\GitHub\Integrador_EducacionIT\views\salesTable.hbs", "Handlebars", 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"Total", "-", 1657, 3369, 31, 3429, 2227, 1, 3344, 645, 1070, 15773
